year,month_monday,state,district,locality,total_locality_cases,outbreak_duration_days,total_state_cases,total_state_deaths,total_rainfall_mm,mean_wind_speed,total_solar_radiation_mjm2,days_in_month,weeks_in_month
2010,3,SELANGOR,Hulu Langat,Apartment Seksyen 3 Bandar Teknologi,5.0,31.0,496.0,2.0,61.96666666666666,1.2904761904761906,148.35500000000005,7,1
2010,3,SELANGOR,Hulu Langat,Kuarters Penjara,40.0,58.5,963.0,5.0,134.96666666666667,1.3666666666666667,290.57000000000005,14,2
2010,3,SELANGOR,Hulu Langat,Pangsapuri Sri Ayu Seksyen 4 Bandar Baru Bangi,78.0,72.5,963.0,5.0,134.96666666666667,1.3666666666666667,290.57000000000005,14,2
2010,3,SELANGOR,Hulu Langat,Pkns Beranang,25.0,34.5,806.0,3.0,106.40000000000003,1.369047619047619,167.92000000000002,14,2
2010,3,SELANGOR,Hulu Langat,Seksyen 1 Bandar Rinching,18.0,44.5,963.0,5.0,134.96666666666667,1.3666666666666667,290.57000000000005,14,2
2010,3,SELANGOR,Hulu Langat,Seksyen 2 Bandar Rinching,78.0,44.0,2216.0,8.0,288.3666666666667,1.3857142857142857,600.32,35,5
2010,3,SELANGOR,Hulu Langat,Seksyen 3 Taman Pelangi Semenyih,19.0,31.0,425.0,1.0,34.333333333333336,1.4190476190476191,59.175,7,1
2010,3,SELANGOR,Hulu Langat,Taman Cheras Awana,53.0,46.0,2216.0,8.0,288.3666666666667,1.3857142857142857,600.32,35,5
2010,3,SELANGOR,Hulu Langat,Taman Jasmin,5.0,33.0,467.0,3.0,73.0,1.4428571428571428,142.21499999999997,7,1
2010,3,SELANGOR,MBPJ,Apartment Suria Mas Pjs 10,20.0,53.5,963.0,5.0,134.96666666666667,1.3666666666666667,290.57000000000005,14,2
2010,3,SELANGOR,MBPJ,Flat Desa Mentari Pjs 6,100.0,109.5,1791.0,7.0,254.03333333333336,1.3773809523809524,541.1450000000001,28,4
2010,3,SELANGOR,MBPJ,Flat Desaria Pjs 5,140.0,62.0,1769.0,8.0,241.3666666666667,1.3678571428571429,458.49000000000007,28,4
2010,3,SELANGOR,MBPJ,Flat Sri Meranti Sd 13 Pju 9,8.0,31.0,496.0,2.0,61.96666666666666,1.2904761904761906,148.35500000000005,7,1
2010,3,SELANGOR,MBPJ,Flat Taman Sri Manja Pjs 3,26.0,42.5,963.0,5.0,134.96666666666667,1.3666666666666667,290.57000000000005,14,2
2010,3,SELANGOR,MBPJ,Gugusan Melur Sek 4 Pju 5,6.0,32.0,381.0,2.0,72.06666666666669,1.3190476190476192,108.745,7,1
2010,3,SELANGOR,MBPJ,Mentari Court Pjs 8,97.0,72.0,1769.0,8.0,241.3666666666667,1.3678571428571429,458.49000000000007,28,4
2010,3,SELANGOR,MBPJ,Sri Manja Court Pjs 3,32.0,39.5,963.0,5.0,134.96666666666667,1.3666666666666667,290.57000000000005,14,2
2010,3,SELANGOR,MBPJ,Ss 9A,34.0,33.5,806.0,3.0,106.40000000000003,1.369047619047619,167.92000000000002,14,2
