state,iso_year,week,year,total_rainfall_mm,mean_wind_speed,total_solar_radiation_mjm2,days_in_week
Federal territory of Malaysia,2009,22,2009,5.4,1.2857142857142858,,7
Federal territory of Malaysia,2009,23,2009,18.6,1.6714285714285713,,7
Federal territory of Malaysia,2009,24,2009,10.6,1.7428571428571427,,7
Federal territory of Malaysia,2009,25,2009,4.100000000000001,1.6714285714285715,,7
Federal territory of Malaysia,2009,26,2009,23.4,1.6999999999999997,,7
Federal territory of Malaysia,2009,27,2009,53.10000000000002,1.5571428571428572,,7
Federal territory of Malaysia,2009,28,2009,14.700000000000003,2.0428571428571427,,7
Federal territory of Malaysia,2009,29,2009,-33.3,1.7857142857142854,,7
Federal territory of Malaysia,2009,30,2009,18.900000000000006,1.6714285714285715,,7
Federal territory of Malaysia,2009,31,2009,8.8,2.457142857142857,,7
Federal territory of Malaysia,2009,32,2009,0.6,2.1571428571428575,,7
Federal territory of Malaysia,2009,33,2009,39.9,2.1714285714285713,,7
Federal territory of Malaysia,2009,34,2009,35.7,1.9000000000000004,,7
Federal territory of Malaysia,2009,35,2009,70.4,1.885714285714286,,7
Federal territory of Malaysia,2009,36,2009,35.3,2.5000000000000004,,7
Federal territory of Malaysia,2009,37,2009,24.4,1.8,,7
Federal territory of Malaysia,2009,38,2009,36.3,2.085714285714286,,7
Federal territory of Malaysia,2009,39,2009,13.0,2.485714285714286,,7
Federal territory of Malaysia,2009,40,2009,137.2,2.114285714285714,,7
Federal territory of Malaysia,2009,41,2009,24.6,2.1999999999999997,,7
Federal territory of Malaysia,2009,42,2009,109.6,2.0571428571428574,,7
Federal territory of Malaysia,2009,43,2009,-7.199999999999996,1.4714285714285715,,7
Federal territory of Malaysia,2009,44,2009,85.1,1.4285714285714286,,7
Federal territory of Malaysia,2009,45,2009,5.2,2.771428571428572,,7
Federal territory of Malaysia,2009,46,2009,43.3,1.6714285714285713,,7
Federal territory of Malaysia,2009,47,2009,149.40000000000003,1.5857142857142859,,7
Federal territory of Malaysia,2009,48,2009,-22.8,2.0,,7
Federal territory of Malaysia,2009,49,2009,69.60000000000001,1.957142857142857,,7
Federal territory of Malaysia,2009,50,2009,59.39999999999999,2.242857142857143,,7
Federal territory of Malaysia,2009,51,2009,21.0,2.242857142857143,,7
Federal territory of Malaysia,2009,52,2009,-14.699999999999996,3.442857142857143,,7
Federal territory of Malaysia,2009,53,2009,-63.99999999999999,2.442857142857143,,7
Federal territory of Malaysia,2010,1,2010,77.0,3.0,,7
Federal territory of Malaysia,2010,2,2010,205.40000000000003,2.4285714285714284,,7
Federal territory of Malaysia,2010,3,2010,-30.9,1.7285714285714289,,7
Federal territory of Malaysia,2010,4,2010,-66.6,3.4428571428571426,,7
Federal territory of Malaysia,2010,5,2010,2.2,2.414285714285714,,7
Federal territory of Malaysia,2010,6,2010,0.0,3.685714285714286,,7
Federal territory of Malaysia,2010,7,2010,0.0,4.3428571428571425,,7
Federal territory of Malaysia,2010,8,2010,0.2,2.242857142857143,,7
Federal territory of Malaysia,2010,9,2010,0.0,1.885714285714286,,7
Federal territory of Malaysia,2010,10,2010,1.2,3.157142857142857,,7
Federal territory of Malaysia,2010,11,2010,0.0,3.142857142857143,,7
Federal territory of Malaysia,2010,12,2010,45.6,2.3857142857142857,,7
Federal territory of Malaysia,2010,13,2010,40.2,2.1142857142857143,,7
Federal territory of Malaysia,2010,14,2010,9.700000000000001,1.7571428571428573,,7
Federal territory of Malaysia,2010,15,2010,-3.8999999999999977,1.942857142857143,,7
Federal territory of Malaysia,2010,16,2010,39.599999999999994,1.7142857142857142,,7
Federal territory of Malaysia,2010,17,2010,145.6,1.3714285714285714,,7
